Year,Round,GridPosition,TrackTemp,AirTemp,TotalLaps,First_Compound,Num_Stops,First_Pit_Lap
2023,1,1.0,31.01180124223602,27.43167701863354,57,SOFT,2,15.0
2023,1,20.0,31.01180124223602,27.43167701863354,57,SOFT,3,10.0
2023,1,2.0,31.01180124223602,27.43167701863354,57,SOFT,2,18.0
2023,1,5.0,31.01180124223602,27.43167701863354,57,SOFT,2,15.0
2023,1,3.0,31.01180124223602,27.43167701863354,57,SOFT,2,14.0
2023,1,8.0,31.01180124223602,27.43167701863354,57,SOFT,2,16.0
2023,1,16.0,31.01180124223602,27.43167701863354,57,SOFT,3,13.0
2023,1,17.0,31.01180124223602,27.43167701863354,57,HARD,3,16.0
2023,1,19.0,31.01180124223602,27.43167701863354,57,SOFT,2,12.0
2023,1,14.0,31.01180124223602,27.43167701863354,57,SOFT,3,11.0
2023,1,15.0,31.01180124223602,27.43167701863354,57,SOFT,3,12.0
2023,1,13.0,31.01180124223602,27.43167701863354,57,SOFT,3,13.0
2023,1,10.0,31.01180124223602,27.43167701863354,57,SOFT,3,12.0
2023,1,9.0,31.01180124223602,27.43167701863354,57,SOFT,3,13.0
2023,1,11.0,31.01180124223602,27.43167701863354,57,SOFT,6,11.0
2023,1,7.0,31.01180124223602,27.43167701863354,57,SOFT,2,13.0
2023,1,4.0,31.01180124223602,27.43167701863354,57,SOFT,2,14.0
2023,1,6.0,31.01180124223602,27.43167701863354,57,SOFT,2,14.0
2023,1,12.0,31.01180124223602,27.43167701863354,57,SOFT,2,12.0
2023,2,15.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,19.0
2023,2,9.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,15.0
2023,2,1.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,19.0
2023,2,2.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,19.0
2023,2,12.0,31.79256756756757,26.09189189189189,50,SOFT,1,17.0
2023,2,5.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,14.0
2023,2,20.0,31.79256756756757,26.09189189189189,50,HARD,1,19.0
2023,2,13.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,9.0
2023,2,18.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,18.0
2023,2,16.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,18.0
2023,2,17.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,18.0
2023,2,11.0,31.79256756756757,26.09189189189189,50,MEDIUM,2,12.0
2023,2,10.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,12.0
2023,2,6.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,17.0
2023,2,19.0,31.79256756756757,26.09189189189189,50,SOFT,2,3.0
2023,2,7.0,31.79256756756757,26.09189189189189,50,HARD,1,19.0
2023,2,4.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,16.0
2023,2,3.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,19.0
2023,2,14.0,31.79256756756757,26.09189189189189,50,MEDIUM,3,10.0
2023,2,8.0,31.79256756756757,26.09189189189189,50,MEDIUM,1,2.0
2023,3,1.0,30.13963963963964,17.449549549549552,58,MEDIUM,3,9.0
2023,3,9.0,30.13963963963964,17.449549549549552,58,SOFT,2,9.0
2023,3,20.0,30.13963963963964,17.449549549549552,58,HARD,5,2.0
2023,3,4.0,30.13963963963964,17.449549549549552,58,MEDIUM,3,9.0
2023,3,6.0,30.13963963963964,17.449549549549552,58,MEDIUM,3,9.0
2023,3,18.0,30.13963963963964,17.449549549549552,58,HARD,6,2.0
2023,3,14.0,30.13963963963964,17.449549549549552,58,MEDIUM,2,8.0
2023,3,15.0,30.13963963963964,17.449549549549552,58,HARD,4,9.0
2023,3,12.0,30.13963963963964,17.449549549549552,58,MEDIUM,4,9.0
2023,3,17.0,30.13963963963964,17.449549549549552,58,SOFT,5,2.0
2023,3,10.0,30.13963963963964,17.449549549549552,58,MEDIUM,3,9.0
2023,3,11.0,30.13963963963964,17.449549549549552,58,SOFT,3,2.0
2023,3,13.0,30.13963963963964,17.449549549549552,58,MEDIUM,3,9.0
2023,3,3.0,30.13963963963964,17.449549549549552,58,MEDIUM,3,9.0
2023,3,5.0,30.13963963963964,17.449549549549552,58,MEDIUM,4,8.0
2023,3,2.0,30.13963963963964,17.449549549549552,58,MEDIUM,2,8.0
2023,3,19.0,30.13963963963964,17.449549549549552,58,SOFT,6,2.0
2023,3,16.0,30.13963963963964,17.449549549549552,58,MEDIUM,4,9.0
2023,5,9.0,36.689032258064515,27.11741935483871,57,HARD,1,46.0
2023,5,1.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,21.0
2023,5,2.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,25.0
2023,5,6.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,18.0
2023,5,3.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,19.0
2023,5,13.0,36.689032258064515,27.11741935483871,57,HARD,1,38.0
2023,5,7.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,18.0
2023,5,5.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,16.0
2023,5,8.0,36.689032258064515,27.11741935483871,57,HARD,1,40.0
2023,5,4.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,15.0
2023,5,17.0,36.689032258064515,27.11741935483871,57,HARD,1,37.0
2023,5,18.0,36.689032258064515,27.11741935483871,57,HARD,1,43.0
2023,5,10.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,16.0
2023,5,11.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,23.0
2023,5,12.0,36.689032258064515,27.11741935483871,57,HARD,1,34.0
2023,5,14.0,36.689032258064515,27.11741935483871,57,HARD,1,32.0
2023,5,16.0,36.689032258064515,27.11741935483871,57,SOFT,1,5.0
2023,5,15.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,16.0
2023,5,19.0,36.689032258064515,27.11741935483871,57,SOFT,1,6.0
2023,5,20.0,36.689032258064515,27.11741935483871,57,MEDIUM,1,3.0
2023,6,1.0,39.25568181818182,25.06590909090909,78,MEDIUM,1,56.0
2023,6,7.0,39.25568181818182,25.06590909090909,78,HARD,2,48.0
2023,6,20.0,39.25568181818182,25.06590909090909,78,MEDIUM,5,2.0
2023,6,2.0,39.25568181818182,25.06590909090909,78,HARD,2,55.0
2023,6,6.0,39.25568181818182,25.06590909090909,78,HARD,2,45.0
2023,6,14.0,39.25568181818182,25.06590909090909,78,HARD,1,52.0
2023,6,16.0,39.25568181818182,25.06590909090909,78,MEDIUM,3,21.0
2023,6,17.0,39.25568181818182,25.06590909090909,78,HARD,1,57.0
2023,6,12.0,39.25568181818182,25.06590909090909,78,MEDIUM,1,54.0
