Year,Round,GridPercentile,TrackTemp,AirTemp,TotalLaps,SafetyCarLaps,DegradationRate,First_Compound,Num_Stops,First_Pit_Lap
2019,1,0.85,41.31311475409837,23.477868852459014,58,0,0.06019444444444449,MEDIUM,1,38.0
2019,1,0.5,41.31311475409837,23.477868852459014,58,0,0.6472499999999997,SOFT,1,14.0
2019,1,0.25,41.31311475409837,23.477868852459014,58,0,0.39581481481481473,SOFT,1,29.0
2019,1,0.8,41.31311475409837,23.477868852459014,58,0,0.18119230769230762,MEDIUM,1,28.0
2019,1,0.35,41.31311475409837,23.477868852459014,58,0,0.8033076923076933,SOFT,1,15.0
2019,1,0.65,41.31311475409837,23.477868852459014,58,0,0.49476923076923096,SOFT,1,15.0
2019,1,0.75,41.31311475409837,23.477868852459014,58,0,0.1251600000000002,MEDIUM,1,27.0
2019,1,0.55,41.31311475409837,23.477868852459014,58,0,0.6593333333333339,SOFT,1,14.0
2019,1,0.6,41.31311475409837,23.477868852459014,58,0,,SOFT,1,2.0
2019,1,0.2,41.31311475409837,23.477868852459014,58,0,0.40329166666666677,SOFT,1,26.0
2019,1,0.4,41.31311475409837,23.477868852459014,58,0,0.49349999999999944,SOFT,1,16.0
2019,1,0.05,41.31311475409837,23.477868852459014,58,0,0.7994285714285709,SOFT,1,16.0
2019,1,0.15,41.31311475409837,23.477868852459014,58,0,0.8462307692307685,SOFT,1,15.0
2019,1,0.95,41.31311475409837,23.477868852459014,58,0,0.13151999999999986,MEDIUM,2,27.0
2019,1,0.45,41.31311475409837,23.477868852459014,58,0,0.8086363636363633,SOFT,1,13.0
2019,1,0.1,41.31311475409837,23.477868852459014,58,0,0.5562272727272725,SOFT,1,24.0
2019,1,0.3,41.31311475409837,23.477868852459014,58,0,1.243071428571429,SOFT,1,16.0
2019,1,1.0,41.31311475409837,23.477868852459014,58,0,,HARD,3,2.0
2019,1,0.7,41.31311475409837,23.477868852459014,58,0,0.42346153846153867,MEDIUM,1,28.0
2019,2,0.65,28.610852713178296,26.210852713178294,57,55,-0.3904999999999994,SOFT,2,10.0
2019,2,0.7,28.610852713178296,26.210852713178294,57,55,-0.39757142857142874,SOFT,2,9.0
2019,2,0.05,28.610852713178296,26.210852713178294,57,55,0.044166666666666764,SOFT,2,14.0
2019,2,0.9,28.610852713178296,26.210852713178294,57,55,,SOFT,2,2.0
2019,2,0.3,28.610852713178296,26.210852713178294,57,55,-0.11166666666666616,SOFT,2,11.0
2019,2,0.6,28.610852713178296,26.210852713178294,57,55,-0.4273749999999996,SOFT,2,10.0
2019,2,0.75,28.610852713178296,26.210852713178294,57,55,0.9408181818181821,SOFT,2,13.0
2019,2,0.85,28.610852713178296,26.210852713178294,57,55,-0.34509090909090967,SOFT,2,13.0
2019,2,0.5,28.610852713178296,26.210852713178294,57,55,-0.03491304347826075,SOFT,1,25.0
2019,2,0.25,28.610852713178296,26.210852713178294,57,55,-0.053700000000000615,SOFT,2,12.0
2019,2,0.45,28.610852713178296,26.210852713178294,57,55,-0.5379999999999998,SOFT,2,11.0
2019,2,0.15,28.610852713178296,26.210852713178294,57,55,0.06491666666666636,SOFT,2,14.0
2019,2,0.1,28.610852713178296,26.210852713178294,57,55,0.22246153846153816,SOFT,3,15.0
2019,2,0.35,28.610852713178296,26.210852713178294,57,55,,SOFT,3,5.0
2019,2,0.95,28.610852713178296,26.210852713178294,57,55,-0.4241818181818179,SOFT,2,13.0
2019,2,0.4,28.610852713178296,26.210852713178294,57,55,-0.30012499999999953,SOFT,2,10.0
2019,2,0.2,28.610852713178296,26.210852713178294,57,55,0.11281818181818179,SOFT,2,13.0
2019,2,0.55,28.610852713178296,26.210852713178294,57,55,,SOFT,1,2.0
2019,2,1.0,28.610852713178296,26.210852713178294,57,55,-0.3635000000000005,MEDIUM,2,12.0
2019,2,0.8,28.610852713178296,26.210852713178294,57,55,-0.23160000000000025,SOFT,2,17.0
2019,3,0.1,27.33700787401575,19.32992125984252,56,0,-0.09885714285714255,MEDIUM,2,23.0
2019,3,0.05,27.33700787401575,19.32992125984252,56,0,-0.2264000000000003,MEDIUM,2,22.0
2019,3,0.15,27.33700787401575,19.32992125984252,56,0,-0.33570588235294163,MEDIUM,2,19.0
2019,3,0.25,27.33700787401575,19.32992125984252,56,0,-0.5413750000000004,MEDIUM,2,18.0
2019,3,0.2,27.33700787401575,19.32992125984252,56,0,-0.22385714285714323,MEDIUM,2,23.0
2019,3,0.3,27.33700787401575,19.32992125984252,56,0,-0.5425555555555559,SOFT,3,20.0
2019,3,0.35,27.33700787401575,19.32992125984252,56,0,-0.6840588235294112,SOFT,1,19.0
2019,3,0.6,27.33700787401575,19.32992125984252,56,0,-0.6678947368421051,MEDIUM,1,21.0
2019,3,0.65,27.33700787401575,19.32992125984252,56,0,-0.6745833333333339,MEDIUM,1,26.0
2019,3,0.0,27.33700787401575,19.32992125984252,56,0,-1.2586111111111105,SOFT,1,20.0
2019,3,0.5,27.33700787401575,19.32992125984252,56,0,-1.9872857142857145,SOFT,2,9.0
2019,3,0.8,27.33700787401575,19.32992125984252,56,0,-0.891736842105263,MEDIUM,2,21.0
2019,3,0.45,27.33700787401575,19.32992125984252,56,0,-1.8681249999999991,SOFT,2,10.0
2019,3,0.7,27.33700787401575,19.32992125984252,56,0,,MEDIUM,2,2.0
2019,3,0.95,27.33700787401575,19.32992125984252,56,0,-2.899000000000001,SOFT,2,8.0
