Year,Round,GridPosition,TrackTemp,AirTemp,TotalLaps,Num_Stops,First_Pit_Lap,First_Compound_HARD,First_Compound_MEDIUM,First_Compound_SOFT
2023,1,1.0,31.01180124223602,27.43167701863354,57,2,15.0,False,False,True
2023,1,20.0,31.01180124223602,27.43167701863354,57,3,10.0,False,False,True
2023,1,2.0,31.01180124223602,27.43167701863354,57,2,18.0,False,False,True
2023,1,5.0,31.01180124223602,27.43167701863354,57,2,15.0,False,False,True
2023,1,3.0,31.01180124223602,27.43167701863354,57,2,14.0,False,False,True
2023,1,8.0,31.01180124223602,27.43167701863354,57,2,16.0,False,False,True
2023,1,16.0,31.01180124223602,27.43167701863354,57,3,13.0,False,False,True
2023,1,17.0,31.01180124223602,27.43167701863354,57,3,16.0,True,False,False
2023,1,19.0,31.01180124223602,27.43167701863354,57,2,12.0,False,False,True
2023,1,14.0,31.01180124223602,27.43167701863354,57,3,11.0,False,False,True
2023,1,15.0,31.01180124223602,27.43167701863354,57,3,12.0,False,False,True
2023,1,13.0,31.01180124223602,27.43167701863354,57,3,13.0,False,False,True
2023,1,10.0,31.01180124223602,27.43167701863354,57,3,12.0,False,False,True
2023,1,9.0,31.01180124223602,27.43167701863354,57,3,13.0,False,False,True
2023,1,11.0,31.01180124223602,27.43167701863354,57,6,11.0,False,False,True
2023,1,7.0,31.01180124223602,27.43167701863354,57,2,13.0,False,False,True
2023,1,4.0,31.01180124223602,27.43167701863354,57,2,14.0,False,False,True
2023,1,6.0,31.01180124223602,27.43167701863354,57,2,14.0,False,False,True
2023,1,12.0,31.01180124223602,27.43167701863354,57,2,12.0,False,False,True
2023,2,15.0,31.79256756756757,26.09189189189189,50,1,19.0,False,True,False
2023,2,9.0,31.79256756756757,26.09189189189189,50,1,15.0,False,True,False
2023,2,1.0,31.79256756756757,26.09189189189189,50,1,19.0,False,True,False
2023,2,2.0,31.79256756756757,26.09189189189189,50,1,19.0,False,True,False
2023,2,12.0,31.79256756756757,26.09189189189189,50,1,17.0,False,False,True
2023,2,5.0,31.79256756756757,26.09189189189189,50,1,14.0,False,True,False
2023,2,20.0,31.79256756756757,26.09189189189189,50,1,19.0,True,False,False
2023,2,13.0,31.79256756756757,26.09189189189189,50,1,9.0,False,True,False
2023,2,18.0,31.79256756756757,26.09189189189189,50,1,18.0,False,True,False
2023,2,16.0,31.79256756756757,26.09189189189189,50,1,18.0,False,True,False
2023,2,17.0,31.79256756756757,26.09189189189189,50,1,18.0,False,True,False
2023,2,11.0,31.79256756756757,26.09189189189189,50,2,12.0,False,True,False
2023,2,10.0,31.79256756756757,26.09189189189189,50,1,12.0,False,True,False
2023,2,6.0,31.79256756756757,26.09189189189189,50,1,17.0,False,True,False
2023,2,19.0,31.79256756756757,26.09189189189189,50,2,3.0,False,False,True
2023,2,7.0,31.79256756756757,26.09189189189189,50,1,19.0,True,False,False
2023,2,4.0,31.79256756756757,26.09189189189189,50,1,16.0,False,True,False
2023,2,3.0,31.79256756756757,26.09189189189189,50,1,19.0,False,True,False
2023,2,14.0,31.79256756756757,26.09189189189189,50,3,10.0,False,True,False
2023,2,8.0,31.79256756756757,26.09189189189189,50,1,2.0,False,True,False
2023,3,1.0,30.13963963963964,17.449549549549552,58,3,9.0,False,True,False
2023,3,9.0,30.13963963963964,17.449549549549552,58,2,9.0,False,False,True
2023,3,20.0,30.13963963963964,17.449549549549552,58,5,2.0,True,False,False
2023,3,4.0,30.13963963963964,17.449549549549552,58,3,9.0,False,True,False
2023,3,6.0,30.13963963963964,17.449549549549552,58,3,9.0,False,True,False
2023,3,18.0,30.13963963963964,17.449549549549552,58,6,2.0,True,False,False
2023,3,14.0,30.13963963963964,17.449549549549552,58,2,8.0,False,True,False
2023,3,15.0,30.13963963963964,17.449549549549552,58,4,9.0,True,False,False
2023,3,12.0,30.13963963963964,17.449549549549552,58,4,9.0,False,True,False
2023,3,17.0,30.13963963963964,17.449549549549552,58,5,2.0,False,False,True
2023,3,10.0,30.13963963963964,17.449549549549552,58,3,9.0,False,True,False
2023,3,11.0,30.13963963963964,17.449549549549552,58,3,2.0,False,False,True
2023,3,13.0,30.13963963963964,17.449549549549552,58,3,9.0,False,True,False
2023,3,3.0,30.13963963963964,17.449549549549552,58,3,9.0,False,True,False
2023,3,5.0,30.13963963963964,17.449549549549552,58,4,8.0,False,True,False
2023,3,2.0,30.13963963963964,17.449549549549552,58,2,8.0,False,True,False
2023,3,19.0,30.13963963963964,17.449549549549552,58,6,2.0,False,False,True
2023,3,16.0,30.13963963963964,17.449549549549552,58,4,9.0,False,True,False
2023,5,9.0,36.68903225806452,27.11741935483871,57,1,46.0,True,False,False
2023,5,1.0,36.68903225806452,27.11741935483871,57,1,21.0,False,True,False
2023,5,2.0,36.68903225806452,27.11741935483871,57,1,25.0,False,True,False
2023,5,6.0,36.68903225806452,27.11741935483871,57,1,18.0,False,True,False
2023,5,3.0,36.68903225806452,27.11741935483871,57,1,19.0,False,True,False
2023,5,13.0,36.68903225806452,27.11741935483871,57,1,38.0,True,False,False
2023,5,7.0,36.68903225806452,27.11741935483871,57,1,18.0,False,True,False
2023,5,5.0,36.68903225806452,27.11741935483871,57,1,16.0,False,True,False
2023,5,8.0,36.68903225806452,27.11741935483871,57,1,40.0,True,False,False
2023,5,4.0,36.68903225806452,27.11741935483871,57,1,15.0,False,True,False
2023,5,17.0,36.68903225806452,27.11741935483871,57,1,37.0,True,False,False
2023,5,18.0,36.68903225806452,27.11741935483871,57,1,43.0,True,False,False
